X,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
WBGene00013889,2,4,0,1,2,4
WBGene00013890,1,1,2,1,2,0
WBGene00013891,27,48,26,21,34,47
WBGene00013892,2794,2898,3288,3366,4023,3819
WBGene00013893,1568,1719,1733,1667,2096,1999
WBGene00013894,8476,8755,8949,8653,11815,7670
WBGene00013895,118,142,120,125,173,131
WBGene00013896,36,44,42,52,62,63
WBGene00013897,36,45,40,29,29,36
WBGene00013898,1507,1519,1449,1130,1388,1393
WBGene00013899,647,697,593,456,547,497
WBGene00013900,25,30,26,38,39,38
WBGene00013901,245,351,230,198,239,279
WBGene00013902,130,86,90,67,92,65
WBGene00013903,12,26,13,15,13,24
WBGene00013904,47,64,38,60,82,63
WBGene00013905,363,493,363,273,361,337
WBGene00013906,156,152,96,135,188,150
WBGene00013907,0,0,0,0,3,2
WBGene00013908,2,1,0,1,1,1
WBGene00013909,3,0,3,0,0,0
WBGene00013910,1,0,0,0,0,0
WBGene00013911,6,7,10,9,4,6
WBGene00013912,3,2,4,1,4,2
WBGene00013913,2,1,0,2,4,4
WBGene00013914,9,15,13,9,13,9
WBGene00013915,3,5,3,2,4,0
WBGene00013916,9,9,5,6,8,6
WBGene00013917,1590,1611,1577,1510,1756,1381
WBGene00013918,0,0,0,0,0,0
WBGene00013919,2813,2894,2922,2593,3408,2601
WBGene00013920,1056,1140,1077,895,1167,1057
WBGene00013921,208,234,211,233,277,286
WBGene00013922,0,1,0,0,1,1
WBGene00013923,156,141,144,80,131,78
WBGene00013924,11194,11353,11061,10966,14848,11708
WBGene00013925,1033,1047,1172,1241,1590,1536
WBGene00013926,2472,2659,2635,2083,2737,2089
WBGene00013927,2,1,0,1,1,2
WBGene00013928,0,0,0,0,0,1
WBGene00013929,0,1,1,0,0,0
WBGene00013930,0,2,0,0,0,0
WBGene00013931,280,308,320,365,421,467
WBGene00013932,1,0,0,0,0,0
WBGene00013933,4,2,2,3,6,2
WBGene00013934,546,607,581,548,653,538
WBGene00013935,4,0,0,0,2,2
WBGene00013937,0,0,0,0,1,0
WBGene00013938,2,4,1,0,4,5
WBGene00013939,1,2,0,0,0,0
WBGene00013940,1,0,0,0,1,0
WBGene00013941,0,0,1,0,0,1
WBGene00013942,0,0,1,3,0,1
WBGene00013943,1,2,1,0,0,0
WBGene00013944,1,3,2,0,0,0
WBGene00013946,58,50,70,129,142,153
WBGene00013947,73,77,94,132,141,150
WBGene00013948,0,0,0,0,0,0
WBGene00013949,7,12,10,4,10,10
WBGene00013950,33,27,30,25,49,30
WBGene00013951,1,1,2,0,1,3
WBGene00013953,0,2,1,1,2,2
WBGene00013954,1,2,0,1,0,0
WBGene00013955,74,70,57,60,88,69
WBGene00013956,4,4,5,4,14,4
WBGene00013957,7,6,6,4,6,7
WBGene00013958,1914,1748,2013,2070,2707,2754
WBGene00013959,49,45,45,27,49,38
WBGene00013960,51,85,126,45,62,87
WBGene00013961,2,2,2,2,2,5
WBGene00013962,306,469,458,180,242,286
WBGene00013963,706,785,620,475,647,640
WBGene00013964,229,268,156,147,220,185
WBGene00013965,118,141,131,128,177,116
WBGene00013966,489,419,544,534,690,593
WBGene00013967,1139,1102,1332,1361,1661,1717
WBGene00013968,102,145,91,129,149,150
WBGene00013969,2399,2119,2570,2214,2875,2228
WBGene00013970,51,52,46,38,42,40
WBGene00013971,1,1,1,0,1,3
WBGene00013972,22,15,27,47,73,84
WBGene00013973,0,0,0,0,0,0
WBGene00013974,3,2,1,0,4,4
WBGene00013975,9,21,27,9,19,23
WBGene00013976,76,108,102,102,140,127
WBGene00013978,14,13,19,13,20,12
WBGene00013979,11,13,10,9,17,6
WBGene00013980,146,122,132,118,183,162
WBGene00013982,234,263,261,141,177,225
WBGene00013983,2923,3003,3336,2973,3703,3116
WBGene00013984,544,577,599,537,768,836
WBGene00013985,6563,6164,7109,6439,8444,5495
WBGene00013986,243,319,322,455,568,646
WBGene00013987,4,7,6,6,11,10
WBGene00013988,2,4,3,3,5,8
WBGene00013989,55,56,52,39,59,61
WBGene00013993,0,0,0,0,0,0
WBGene00013994,4304,4352,4353,4175,5399,3597
WBGene00013995,9,5,3,2,3,5
WBGene00013996,133,163,124,140,216,241
WBGene00013997,4084,4540,4642,4439,5541,4327
WBGene00013998,2918,2802,3220,3200,4038,4174
WBGene00013999,3,3,4,3,9,2
WBGene00014000,797,839,799,852,1212,1203
WBGene00014001,996,1084,997,1103,1383,1281
WBGene00014002,90,106,106,81,114,119
WBGene00014003,111,166,107,161,197,198
WBGene00014004,2894,3009,3121,3141,3935,3474
WBGene00014005,30,34,34,19,38,28
WBGene00014006,1686,1623,1785,1988,2259,1994
WBGene00014007,0,3,0,1,4,2
WBGene00014008,13,26,19,17,21,29
WBGene00014009,9,13,6,11,8,8
WBGene00014011,4457,4679,4580,4455,5587,3822
WBGene00014012,2555,2594,2825,2590,3220,3047
WBGene00014013,5878,6177,6379,5976,7458,6563
WBGene00014014,1995,2145,2352,2168,2749,2737
WBGene00014015,6285,6373,6499,5894,7567,5752
WBGene00014016,4408,4362,4407,4820,6480,5619
WBGene00014017,4780,4800,4653,5091,6670,5943
WBGene00014018,2645,2756,3189,3401,3951,4210
WBGene00014019,2009,1925,2063,2074,2867,3039
WBGene00014020,967,965,1163,1088,1358,1412
WBGene00014021,160,178,168,128,162,154
WBGene00014022,1917,1885,2011,2034,2775,2684
WBGene00014023,4804,4978,5234,4925,6158,5884
WBGene00014024,50,53,41,34,46,35
WBGene00014025,4261,4708,4702,4349,5615,5773
WBGene00014026,0,0,0,0,0,0
WBGene00014027,309,357,398,337,470,510
WBGene00014028,628,670,721,601,789,810
WBGene00014029,32,25,17,17,41,29
WBGene00014030,733,732,777,721,1154,1164
WBGene00014031,359,402,361,280,449,456
WBGene00014032,20,16,11,14,14,15
WBGene00014033,22,32,24,14,31,23
WBGene00014034,1458,1542,1672,1594,2099,2293
WBGene00014035,190,217,172,175,252,197
WBGene00014036,4276,4384,4498,4114,5060,3866
WBGene00014037,10,10,4,2,2,13
WBGene00014038,0,0,0,0,0,0
WBGene00014039,41,54,49,13,38,31
WBGene00014040,108,138,94,86,95,71
WBGene00014041,14,33,18,10,23,22
WBGene00014042,0,1,0,0,0,0
WBGene00014043,0,1,3,1,1,1
WBGene00014044,20,14,10,3,20,18
WBGene00014045,0,0,0,0,1,3
WBGene00014046,30,26,23,37,56,41
WBGene00014047,6,7,5,11,15,11
WBGene00014048,3,1,0,3,1,0
WBGene00014049,5,5,3,6,5,3
WBGene00014050,0,3,0,0,0,0
WBGene00014051,274,288,250,222,248,200
WBGene00014052,239,261,215,231,331,290
WBGene00014053,540,530,462,323,489,453
WBGene00014054,3635,3519,3912,4006,4949,4035
WBGene00014055,31,39,16,36,34,44
WBGene00014057,277,291,193,287,366,329
WBGene00014058,5501,5879,5292,5060,6584,5720
WBGene00014060,198,187,198,169,265,172
WBGene00014061,52,81,57,41,53,48
WBGene00014062,0,5,5,0,4,5
WBGene00014063,3,5,4,1,4,8
WBGene00014064,36,35,40,31,37,41
WBGene00014065,18,20,15,18,20,14
WBGene00014066,1627,1593,1807,1674,2141,1960
WBGene00014067,15,17,11,5,20,11
WBGene00014068,4,9,5,3,11,2
WBGene00014069,41,44,33,42,52,69
WBGene00014070,1,0,1,0,0,0
WBGene00014073,11,14,10,5,13,6
WBGene00014074,42,52,45,29,58,39
WBGene00014075,2660,2725,2626,2776,3562,3606
WBGene00014076,909,1036,967,804,1066,1124
WBGene00014077,27,39,41,36,45,46
WBGene00014078,3135,3236,3460,3654,4158,4349
WBGene00014079,219,262,244,173,244,285
WBGene00014080,773,809,891,678,936,894
WBGene00014081,301,324,363,250,384,304
WBGene00014082,8,14,11,4,11,11
WBGene00014083,1408,1398,1565,1536,2122,1831
WBGene00014084,3,4,4,3,3,4
WBGene00014085,12,15,8,9,8,12
WBGene00014086,4537,4927,4592,4653,6207,5256
WBGene00014087,3970,3875,4246,4260,4988,3845
WBGene00014088,711,631,712,861,1060,1080
WBGene00014089,79,80,89,37,50,31
WBGene00014090,1556,1777,1684,1196,1508,1700
WBGene00014091,1033,906,941,1028,1268,1173
WBGene00014092,454,449,415,377,497,502
WBGene00014093,5,1,9,6,9,6
WBGene00014094,8,11,15,4,6,3
WBGene00014095,23304,23260,24733,23719,31885,24815
WBGene00014096,5405,5712,6019,6560,8394,8363
WBGene00014097,6697,7043,6988,6790,9076,8668
WBGene00014098,5099,5298,5158,4551,6084,4138
WBGene00014099,24,27,15,10,15,20
WBGene00014100,3,2,6,3,5,5
WBGene00014101,33,23,12,20,31,26
WBGene00014102,8,5,9,6,13,6
WBGene00014103,12,11,7,5,13,10
WBGene00014104,0,1,0,0,0,0
WBGene00014105,22,42,22,13,28,15
WBGene00014106,316,360,271,306,418,342
WBGene00014107,8,6,6,7,10,7
WBGene00014108,1328,1438,1647,1661,2042,2396
WBGene00014109,3285,3419,3469,3347,4403,4495
WBGene00014111,1258,1217,1379,1327,1603,1734
WBGene00014112,1899,1972,2025,2175,2658,2371
WBGene00014113,3972,4190,4765,4594,5628,4025
WBGene00014114,5519,5620,6216,5667,7262,5359
WBGene00014115,13385,13739,14157,12903,16680,9806
WBGene00014116,9,11,10,13,17,17
WBGene00014117,10286,10711,10655,10412,14744,14405
WBGene00014118,1460,1613,1616,1502,2016,2167
WBGene00014119,7831,7983,8073,8077,10727,9800
WBGene00014120,2816,2641,3230,3283,4005,3784
WBGene00014121,9,16,6,8,14,9
WBGene00014122,16,24,22,7,19,18
WBGene00014123,2623,2775,2932,2613,3547,3377
WBGene00014124,10456,11046,12024,11782,15303,14355
WBGene00014125,470,483,357,335,475,378
WBGene00014126,0,0,0,0,0,0
WBGene00014127,0,2,1,1,1,2
WBGene00014128,3,1,1,2,2,1
WBGene00014129,1,3,2,1,2,1
WBGene00014130,24,27,49,39,69,50
WBGene00014131,20,26,10,21,22,22
WBGene00014132,68,68,70,94,105,98
WBGene00014134,103,154,137,139,168,152
WBGene00014135,51,72,53,72,91,84
WBGene00014136,39,34,48,36,55,58
WBGene00014137,150,223,124,210,264,271
WBGene00014138,1162,1221,931,1250,1750,1099
WBGene00014139,2422,2518,2794,2827,3600,3777
WBGene00014140,118,143,129,99,151,129
WBGene00014141,511,537,565,541,956,947
WBGene00014142,4,8,5,2,3,4
WBGene00014143,128,166,119,111,156,154
WBGene00014144,250,225,223,198,264,265
WBGene00014145,15,17,19,11,24,20
WBGene00014147,0,0,0,0,0,0
WBGene00014148,538,732,663,411,555,627
WBGene00014149,109,117,144,97,107,119
WBGene00014150,204,232,234,223,321,358
WBGene00014151,4321,4298,4645,3973,5200,3932
WBGene00014152,811,932,787,726,871,805
WBGene00014153,58,71,59,46,70,49
WBGene00014154,8,7,4,2,9,2
WBGene00014155,14,21,18,14,18,12
WBGene00014156,73,71,74,37,64,74
WBGene00014157,2,2,2,2,2,1
WBGene00014158,6,13,8,7,17,8
WBGene00014159,534,512,495,301,434,430
WBGene00014160,2,5,9,3,3,3
WBGene00014161,8,9,3,3,9,8
WBGene00014162,7,4,3,2,3,4
WBGene00014163,1100,1073,1285,1290,1672,1796
WBGene00014164,3202,3397,2768,2759,3728,2534
WBGene00014165,7842,8233,8485,7055,9096,6549
WBGene00014166,292,301,373,375,465,462
WBGene00014168,1,0,0,0,0,3
WBGene00014169,1,2,4,3,3,4
WBGene00014170,1,4,4,1,5,2
WBGene00014171,359,344,327,217,297,234
WBGene00014172,902,952,1002,965,1271,1253
WBGene00014173,70,97,120,73,93,123
WBGene00014174,3,1,4,0,5,0
WBGene00014175,42,34,26,24,31,32
WBGene00014176,1722,1778,1892,1925,2449,1848
WBGene00014177,2450,2575,2819,2563,3306,3197
WBGene00014178,23,21,14,19,23,31
WBGene00014179,23,34,25,13,18,10
WBGene00014180,8,3,4,2,3,3
WBGene00014181,65,95,72,71,92,80
WBGene00014182,12,29,20,16,15,39
WBGene00014183,48,79,83,30,57,114
WBGene00014184,2,0,4,1,2,5
WBGene00014185,4,5,5,2,2,6
WBGene00014186,26,31,36,30,31,39
WBGene00014188,21,27,27,15,14,37
WBGene00014189,23,24,24,6,13,17
WBGene00014190,0,1,0,0,1,0
WBGene00014191,1,2,0,1,0,0
WBGene00014192,2,1,0,1,1,2
WBGene00014193,0,2,2,1,2,0
WBGene00014194,98,114,89,115,146,156
WBGene00014195,1,0,0,0,3,0
WBGene00014196,8,4,14,2,12,8
WBGene00014197,3,8,1,3,5,3
WBGene00014198,39,34,47,27,32,23
WBGene00014199,3162,3314,3141,1938,2746,1940
WBGene00014200,15,9,18,9,12,13
WBGene00014201,1,2,5,2,1,1
WBGene00014202,5791,5786,6562,6476,7979,5516
WBGene00014203,614,631,701,645,806,724
WBGene00014204,10524,11133,10736,10195,12668,12219
WBGene00014205,873,872,1090,1098,1308,1388
WBGene00014206,30,43,34,40,67,48
WBGene00014207,270,301,308,319,431,376
WBGene00014208,4674,4823,4738,3942,5353,2853
WBGene00014209,2568,2699,2926,2922,3636,2972
WBGene00014210,37,45,49,42,58,56
WBGene00014213,1060,1002,1008,756,1117,918
WBGene00014214,64,68,61,50,74,59
WBGene00014215,1268,1217,1350,1128,1422,1027
WBGene00014216,8,6,3,4,10,12
WBGene00014217,0,0,0,0,0,0
WBGene00014218,5389,5763,5928,5316,6202,4377
WBGene00014219,3593,3819,3866,3803,4740,4442
WBGene00014220,758,824,863,709,898,1010
WBGene00014221,1204,1315,1431,1422,1808,1697
WBGene00014222,1093,1059,1191,1262,1655,1529
WBGene00014223,43,50,25,37,57,59
WBGene00014224,639,617,618,682,846,792
WBGene00014225,2,3,2,0,5,4
WBGene00014226,531,634,621,709,786,760
WBGene00014227,1369,1530,1586,1586,2017,1957
WBGene00014228,1106,1086,1274,1177,1580,1451
WBGene00014229,19,14,21,20,30,34
WBGene00014230,1780,1784,1992,1992,2810,2627
WBGene00014232,4256,4285,4701,4202,5636,4530
WBGene00014233,178,162,150,130,158,149
WBGene00014234,2073,2046,2159,2189,2801,2647
WBGene00014235,6,6,2,3,4,2
WBGene00014236,3,2,1,1,0,1
WBGene00014238,2,1,4,1,4,3
WBGene00014239,0,1,2,1,0,0
WBGene00014240,0,2,2,1,8,0
WBGene00014241,1,4,3,0,1,5
WBGene00014242,79,84,65,75,70,85
WBGene00014243,5043,5146,5699,4597,6061,4138
WBGene00014244,839,897,749,707,929,926
WBGene00014245,11,18,3,5,10,8
WBGene00014246,1,1,1,0,2,1
WBGene00014247,0,0,2,0,4,5
WBGene00014248,11,16,21,10,19,19
WBGene00014249,6501,6771,6922,7014,8373,7255
WBGene00014250,2541,2503,2913,2811,3513,2793
WBGene00014251,1012,1094,1053,1005,1488,1287
WBGene00014252,2078,2322,2031,2701,3600,3168
WBGene00014253,2039,2042,1987,2474,3749,3138
WBGene00014254,45,56,55,40,48,60
WBGene00014255,7,7,7,3,15,9
WBGene00014256,1118,1171,1319,1281,1518,1386
WBGene00014258,3757,4136,3419,3426,4677,3581
WBGene00014259,467,535,473,379,521,625
WBGene00014260,11,5,4,4,8,3
WBGene00014261,109,115,107,98,136,140
WBGene00014262,134,149,189,203,256,282
WBGene00014263,0,0,0,0,0,0
WBGene00014264,0,0,0,0,0,0
WBGene00014265,0,0,0,0,0,0
WBGene00014266,0,0,0,0,0,0
WBGene00014267,0,0,0,0,0,0
WBGene00014268,1,1,0,0,0,0
WBGene00014269,0,0,0,0,0,0
WBGene00014270,0,0,0,0,0,0
WBGene00014271,0,0,0,0,0,0
WBGene00014272,0,0,0,0,0,0
WBGene00014273,0,0,0,0,0,0
WBGene00014274,0,0,0,0,0,0
WBGene00014275,0,0,0,0,0,0
WBGene00014276,0,0,0,0,0,0
WBGene00014277,0,0,0,0,0,0
WBGene00014278,0,0,0,0,0,0
WBGene00014279,0,0,0,0,0,0
WBGene00014280,0,0,0,0,0,0
WBGene00014281,0,0,0,0,0,0
WBGene00014282,0,0,0,0,0,0
WBGene00014283,1,0,0,0,0,0
WBGene00014284,0,0,0,0,0,0
WBGene00014285,0,0,0,0,0,0
WBGene00014286,0,0,0,0,0,0
WBGene00014287,0,0,0,0,1,0
WBGene00014288,1,1,4,2,2,0
WBGene00014289,0,0,0,0,0,0
WBGene00014290,1,0,1,0,0,0
WBGene00014291,2,1,0,0,0,0
WBGene00014292,0,0,0,0,0,0
WBGene00014293,0,0,0,0,0,0
WBGene00014294,375,334,333,310,402,287
WBGene00014295,0,0,0,0,0,0
WBGene00014296,0,0,0,0,0,0
WBGene00014297,0,0,0,0,0,0
WBGene00014298,0,0,0,0,0,0
WBGene00014299,0,0,0,0,0,0
WBGene00014300,132,170,133,127,155,149
WBGene00014301,0,0,2,0,0,1
WBGene00014302,0,0,0,0,0,0
WBGene00014303,0,0,0,0,0,0
WBGene00014304,0,0,0,0,0,0
WBGene00014305,0,0,0,0,0,0
WBGene00014306,1,0,0,0,0,0
WBGene00014307,1459,1490,1534,1665,2411,2408
WBGene00014308,450,465,397,388,523,472
WBGene00014309,13284,14675,13555,11058,14392,12829
WBGene00014310,3,4,8,4,3,1
WBGene00014311,1,1,2,1,5,2
WBGene00014312,4,3,3,1,6,3
WBGene00014313,0,0,0,0,0,0
WBGene00014314,0,0,0,0,0,0
WBGene00014315,0,0,0,0,0,0
WBGene00014316,6,4,1,3,5,7
WBGene00014317,3,5,3,0,2,3
WBGene00014318,0,0,0,0,0,0
WBGene00014319,0,0,0,0,0,0
WBGene00014320,0,0,0,0,0,0
WBGene00014321,0,0,0,0,0,0
WBGene00014322,1,2,1,1,4,2
WBGene00014323,0,0,0,0,0,0
WBGene00014324,0,0,0,0,0,0
WBGene00014325,0,0,0,0,0,0
WBGene00014326,0,1,0,0,0,0
WBGene00014327,0,0,0,0,0,0
WBGene00014328,0,0,0,0,0,0
WBGene00014329,0,0,0,0,0,0
WBGene00014330,0,0,1,0,0,0
WBGene00014331,0,1,0,0,0,0
WBGene00014332,0,0,0,0,0,0
WBGene00014333,0,0,0,0,0,0
WBGene00014334,0,0,0,0,0,0
WBGene00014335,0,1,2,2,2,4
WBGene00014336,2,0,1,2,5,1
WBGene00014337,0,0,0,0,0,0
WBGene00014338,0,0,0,0,0,0
WBGene00014339,0,0,0,0,0,0
WBGene00014340,0,0,0,0,0,0
WBGene00014341,0,0,0,0,0,0
WBGene00014342,1,0,0,0,0,0
WBGene00014343,0,0,0,0,0,0
WBGene00014344,0,0,0,0,0,0
WBGene00014345,0,0,1,0,0,0
WBGene00014346,0,0,0,0,0,0
WBGene00014347,0,0,0,0,0,0
WBGene00014348,0,0,0,0,0,0
WBGene00014349,0,0,0,0,0,0
WBGene00014350,0,0,0,0,0,0
WBGene00014351,0,0,0,0,0,0
WBGene00014352,0,0,0,0,0,0
WBGene00014353,0,0,0,0,0,0
WBGene00014354,0,0,0,0,0,0
WBGene00014355,0,0,0,0,0,0
WBGene00014356,0,0,0,0,0,0
WBGene00014357,0,0,0,0,0,0
WBGene00014358,0,0,0,0,0,0
WBGene00014359,0,0,0,0,0,0
WBGene00014360,0,0,0,0,0,0
WBGene00014361,0,0,0,0,0,0
WBGene00014362,0,1,0,0,0,0
WBGene00014363,0,0,0,0,0,0
WBGene00014364,2,1,1,1,1,0
WBGene00014365,0,0,0,0,0,0
WBGene00014366,0,1,0,0,1,0
WBGene00014367,0,0,1,1,0,0
WBGene00014368,0,0,0,0,0,0
WBGene00014369,0,0,0,0,0,0
WBGene00014370,1,4,4,2,2,2
WBGene00014371,1,1,2,2,3,0
WBGene00014372,0,0,0,0,0,0
WBGene00014373,0,0,0,0,0,0
WBGene00014374,0,0,0,0,0,0
WBGene00014375,3,5,7,1,5,5
WBGene00014376,0,0,1,1,4,0
WBGene00014377,0,0,0,0,0,0
WBGene00014378,0,0,0,0,0,0
WBGene00014379,0,0,0,0,0,0
WBGene00014380,0,0,0,0,0,0
WBGene00014381,0,0,0,0,0,0
WBGene00014382,0,0,0,0,0,0
WBGene00014384,0,0,0,0,0,1
WBGene00014385,0,0,0,0,0,0
WBGene00014386,0,0,0,0,0,0
WBGene00014387,0,0,0,0,0,0
WBGene00014388,0,0,0,0,1,0
WBGene00014389,1,0,0,0,0,0
WBGene00014390,1,0,0,0,1,0
WBGene00014391,0,0,0,0,0,0
WBGene00014392,0,0,0,0,0,0
WBGene00014393,0,0,0,0,0,0
WBGene00014394,0,0,1,0,0,0
WBGene00014395,0,0,0,0,0,0
WBGene00014396,0,0,0,0,0,0
WBGene00014397,0,0,0,2,0,2
WBGene00014398,0,0,0,0,0,0
WBGene00014399,0,0,0,0,0,0
WBGene00014400,0,0,1,0,0,0
WBGene00014401,0,0,0,0,0,0
WBGene00014402,0,0,0,0,0,0
WBGene00014403,1,0,2,0,1,0
WBGene00014404,2,0,2,1,5,2
WBGene00014405,0,1,3,0,1,1
WBGene00014406,1,1,0,1,0,0
WBGene00014407,0,0,0,0,0,0
WBGene00014408,0,0,0,0,0,0
WBGene00014409,0,0,0,0,0,0
WBGene00014410,0,0,0,0,0,0
WBGene00014411,1,1,0,0,0,0
WBGene00014413,0,0,0,0,0,0
WBGene00014414,0,0,0,0,0,0
WBGene00014415,0,0,0,0,0,0
WBGene00014416,0,0,0,1,0,1
WBGene00014417,0,0,0,0,0,0
WBGene00014418,0,0,1,0,0,2
WBGene00014419,0,0,0,0,0,0
WBGene00014420,0,0,0,0,0,0
WBGene00014421,1,3,1,0,2,2
WBGene00014422,0,0,0,0,0,0
WBGene00014423,0,0,0,0,0,1
WBGene00014424,1,0,1,0,0,0
WBGene00014425,1,1,1,2,5,2
WBGene00014426,0,0,0,1,0,0
WBGene00014427,0,0,0,0,0,0
WBGene00014428,0,0,0,0,0,0
WBGene00014429,0,0,0,0,0,0
WBGene00014430,0,0,0,0,0,0
WBGene00014431,0,1,0,0,0,1
WBGene00014432,0,0,0,0,0,0
WBGene00014433,0,1,0,0,0,0
WBGene00014434,0,0,0,0,0,0
WBGene00014435,0,1,1,0,1,0
WBGene00014436,0,0,0,0,0,0
WBGene00014437,0,0,0,0,0,0
WBGene00014438,1,0,1,0,0,0
WBGene00014439,1,0,0,0,0,0
WBGene00014440,0,0,0,0,0,0
WBGene00014441,0,0,0,0,0,0
WBGene00014442,0,0,0,0,0,0
WBGene00014443,0,0,0,0,0,0
WBGene00014444,1,1,1,0,1,1
WBGene00014445,0,0,0,0,0,0
WBGene00014446,0,0,0,0,0,0
WBGene00014447,0,1,1,1,2,0
WBGene00014448,0,0,0,0,0,0
WBGene00014449,0,0,0,0,0,0
WBGene00014450,0,0,0,0,0,0
WBGene00014451,0,0,0,0,0,0
WBGene00014452,0,0,0,0,0,0
WBGene00014453,0,0,0,0,0,0
WBGene00014454,1271,1117,1191,1447,1335,1034
WBGene00014455,0,0,0,0,0,0
WBGene00014456,0,1,0,0,0,0
WBGene00014457,0,0,0,0,0,0
WBGene00014458,0,0,0,0,0,0
WBGene00014459,0,0,0,0,0,0
WBGene00014460,0,0,0,0,0,0
WBGene00014461,0,0,0,0,0,0
WBGene00014462,0,0,0,0,0,0
WBGene00014463,0,0,0,0,0,0
WBGene00014464,0,0,0,1,0,1
WBGene00014465,0,0,0,0,0,0
WBGene00014466,0,0,1,0,0,0
WBGene00014467,0,0,0,0,0,0
WBGene00014468,0,0,0,0,0,0
WBGene00014469,0,0,0,0,0,0
WBGene00014470,0,0,0,0,0,0
WBGene00014471,0,0,2,0,0,0
WBGene00014472,675,705,684,795,627,624
WBGene00014473,0,0,0,0,0,0
WBGene00014474,0,0,0,0,0,1
WBGene00014475,0,0,0,0,0,0
WBGene00014476,0,0,0,0,0,0
WBGene00014477,0,0,0,0,0,0
WBGene00014478,0,0,0,0,0,0
WBGene00014479,0,0,0,1,0,0
WBGene00014480,0,1,0,0,0,0
WBGene00014481,0,0,0,0,0,0
WBGene00014482,0,0,0,0,1,1
WBGene00014483,6,0,5,1,4,2
WBGene00014484,0,1,0,0,0,2
WBGene00014485,0,0,0,0,0,0
WBGene00014486,0,0,0,0,0,0
WBGene00014487,0,0,0,0,0,0
WBGene00014488,1,1,1,1,0,0
WBGene00014489,0,0,0,0,0,0
WBGene00014490,0,0,0,0,0,0
WBGene00014491,0,0,0,0,0,0
WBGene00014492,6617,6761,7366,6225,7316,5655
WBGene00014493,0,0,0,0,0,0
WBGene00014494,0,0,0,0,0,0
WBGene00014495,0,0,0,0,0,0
WBGene00014496,0,0,0,0,0,0
WBGene00014497,0,0,0,0,0,0
WBGene00014498,0,0,0,0,0,0
WBGene00014499,0,0,0,0,0,1
WBGene00014500,1,0,0,0,1,0
WBGene00014501,0,0,0,0,0,0
WBGene00014502,0,0,0,0,0,0
WBGene00014503,0,0,0,0,0,0
WBGene00014504,0,0,0,0,0,0
WBGene00014505,1691,2036,1822,1073,1465,1666
WBGene00014506,0,0,0,0,0,0
WBGene00014507,0,0,0,0,0,0
WBGene00014508,0,0,0,0,0,0
WBGene00014509,0,0,0,0,0,0
WBGene00014510,1,1,0,0,0,0
WBGene00014511,2,1,1,1,0,5
WBGene00014512,0,0,0,0,0,0
WBGene00014513,0,0,0,0,0,0
WBGene00014514,0,0,0,0,0,0
WBGene00014515,0,0,0,0,0,0
WBGene00014516,1409,1471,1482,1485,1921,1558
WBGene00014517,2,1,0,0,1,0
WBGene00014518,0,0,0,1,1,0
WBGene00014519,1,0,0,0,0,0
WBGene00014520,0,0,0,0,0,0
WBGene00014521,0,0,0,0,0,0
WBGene00014522,0,0,0,0,0,0
WBGene00014523,0,0,0,0,0,0
WBGene00014524,0,0,0,0,0,0
WBGene00014525,1,1,1,0,1,0
WBGene00014526,0,0,0,0,0,0
WBGene00014527,0,0,0,0,0,0
WBGene00014528,0,0,0,0,0,0
WBGene00014529,0,0,0,0,0,0
WBGene00014530,0,0,0,0,0,0
WBGene00014531,0,0,0,0,0,0
WBGene00014532,0,0,0,0,0,0
WBGene00014533,0,0,0,0,0,0
WBGene00014534,0,0,0,0,0,0
WBGene00014535,0,0,0,0,0,0
WBGene00014536,0,0,0,0,0,0
WBGene00014537,0,0,0,0,0,0
WBGene00014538,0,0,0,0,0,0
WBGene00014539,0,0,0,0,0,0
WBGene00014540,0,0,0,0,0,0
WBGene00014541,0,0,2,0,1,0
WBGene00014542,0,0,2,1,1,0
WBGene00014543,0,0,0,0,0,0
WBGene00014544,0,0,0,0,0,0
WBGene00014545,0,0,0,0,0,0
WBGene00014546,0,0,0,0,0,0
WBGene00014547,0,0,0,0,0,0
WBGene00014548,0,0,0,0,0,0
WBGene00014549,1,0,0,0,3,0
WBGene00014550,3,5,2,3,5,3
WBGene00014551,0,0,0,0,0,0
WBGene00014552,0,0,0,0,0,0
WBGene00014553,0,0,0,0,0,0
WBGene00014554,0,0,0,0,0,1
WBGene00014555,0,0,0,0,0,0
WBGene00014556,0,0,0,0,0,0
WBGene00014557,0,0,0,0,0,0
WBGene00014558,0,0,1,0,0,0
WBGene00014559,0,0,0,0,0,0
WBGene00014560,1,0,0,0,0,0
WBGene00014561,0,0,1,0,1,0
WBGene00014562,7,12,8,15,13,23
WBGene00014563,1,0,0,0,0,0
WBGene00014564,0,0,0,0,0,1
WBGene00014565,0,0,0,0,0,0
WBGene00014566,0,0,0,0,0,0
WBGene00014567,0,0,0,0,0,0
WBGene00014568,0,0,0,0,0,0
WBGene00014569,24,24,27,8,19,28
WBGene00014570,0,0,0,0,0,0
WBGene00014571,0,0,0,0,0,0
WBGene00014572,0,0,0,1,0,0
WBGene00014573,0,0,0,0,0,0
WBGene00014574,0,0,0,0,0,0
WBGene00014575,0,1,0,0,0,0
WBGene00014576,380,413,365,416,524,370
WBGene00014577,1,3,0,2,1,2
WBGene00014578,1,1,0,0,1,0
WBGene00014579,0,0,0,0,0,0
