transcript_stable_ID,Nr35 counts,Nr36 counts,Nr37 counts,Nr38 counts
C36B7.6,2073,1855,1892,1950
C36C5.12,10,7,11,15
C36C5.14,1,0,1,0
C36C5.15,0,0,0,0
C36C5.4,0,0,0,1
C36C5.5,86,99,66,102
C36C9.4,0,1,1,0
C36C9.5,11,10,5,11
C36C9.6,0,0,0,1
C36E6.2,1082,918,914,944
C36E6.8,4,3,1,0
C36E8.1,6610,6046,5808,6493
C36E8.4,460,350,288,351
C36E8.6,0,0,0,0
C36F7.5,0,3,2,4
C36H8.1,3,0,1,1
C37A2.6,74,64,68,86
C37A2.7,6188,7790,7690,7555
C37A2.8,1723,1557,1220,1607
C37A2.8,1750,1588,1238,1628
C37A5.11,6,3,0,3
C37A5.7,553,577,487,628
C37C3.1,1445,1318,1225,1367
C37C3.10,3,2,0,4
C37C3.11,8,8,10,4
C37C3.12,50,51,36,51
C37C3.2,7012,6527,6457,6709
C37C3.2,7015,6531,6462,6712
C37C3.2,7005,6523,6452,6704
C37C3.7,108,89,105,107
C37C3.9,4826,4491,4436,4923
C37E2.2,93,81,82,95
C37E2.3,0,0,3,2
C37H5.13,1124,1014,1020,1046
C37H5.13,159,135,110,125
C37H5.13,482,450,422,421
C37H5.14,38,37,30,29
C37H5.5,3612,3340,2871,3462
C38C10.3,0,1,0,2
C38C3.10,10,6,1,9
C38C3.3,2,0,1,8
C38C3.4a,110,72,86,90
C38C3.4a,45,20,29,43
C38C3.6,3,2,9,6
C38C3.8,0,2,0,0
C38C5.1,4,3,9,5
C38C6.3,91,70,68,62
C38C6.5,0,2,0,2
C38D4.4,3346,3290,3240,3714
C38D4.7,18,18,18,22
C38D9.2,23,13,21,15
C38D9.5,3,1,4,1
C38D9.8,87,62,68,79
C38H2.2,956,870,815,986
C38H2.3,32,26,40,49
C39B10.1,45,44,31,33
C39B10.3,8,3,6,7
C39B10.4,2,1,0,0
C39B10.5,0,0,3,2
C39B5.10,0,1,2,1
C39B5.2,875,719,666,874
C39B5.5,17,16,19,13
C39D10.1,0,0,0,0
C39D10.11,180,153,123,164
C39D10.2,41,40,39,38
C39D10.5,30,24,24,17
C39D10.6,34,23,25,36
C39D10.7,41754,41980,38324,44682
C39D10.8,239,196,220,214
C39D10.8,239,196,220,214
C39D10.8,236,193,216,213
C39E6.2,0,1,0,0
C39E9.11,3816,3384,2884,3700
C39E9.12,3907,3871,3746,4335
C39E9.7,123,90,93,108
C39E9.8,1745,1730,1628,1687
C39E9.8,1704,1688,1591,1650
C39E9.8,1725,1711,1608,1669
C39F7.1,17,12,16,12
C39F7.5,331,291,252,289
C39H7.1,2,4,0,1
C39H7.4,655,539,629,663
C40A11.2,154,124,117,143
C40A11.3,154,120,90,130
C40A11.4,181,174,182,210
C40A11.6,149,112,133,172
C40A11.7,20,17,17,11
C40A11.8,4,2,2,5
C40C9.3,5,8,1,4
C40C9.4,0,0,0,0
C40H1.2,23,24,27,32
C40H1.3,8,3,7,4
C40H1.7,352,303,293,320
C40H1.8,61,54,63,52
C40H1.9,14,7,20,11
C40H5.2,16,20,7,18
C40H5.7,5,2,2,1
C41A3.2,220,214,144,196
C41A3.2,123,129,100,127
C41C4.9,1,0,0,0
C41D11.3,2357,2211,1963,2263
C41D11.3,3133,2901,2631,3018
C41D11.6,76,92,93,101
C41D11.9,352,346,367,463
C41G11.1,2179,1894,1881,2063
C41G11.1,2216,1918,1922,2105
C41G6.12,0,0,0,0
C41G6.13,0,0,0,0
C41G6.16,0,0,0,0
C41G7.3,1946,1831,1890,2119
C41G7.6,1,1,0,4
C41G7.7,73,64,60,48
C41G7.8,104,58,59,73
C41G7.9,2438,2380,2387,2500
C41H7.1,27,39,22,24
C41H7.2,4,8,6,8
C41H7.9,4,4,3,2
C42C1.12,491,475,394,510
C42C1.13,439,389,342,445
C42C1.13,488,435,373,498
C42C1.3,7,3,3,6
C42C1.8,4559,4235,4040,4701
C42C1.9,10,11,11,17
C42D4.1,8322,6992,6098,7744
C42D4.13,18,15,14,18
C42D4.3,23,19,33,26
C42D8.1,177,152,156,178
C42D8.9,2,3,2,1
C43D7.4,2,3,3,0
C43D7.7,0,1,4,3
C43D7.8,19,13,18,18
C43E11.12,1046,958,753,1012
C43E11.12,918,842,648,872
C43E11.5,5,3,7,11
C43E11.9,595,571,627,719
C43F9.11,3,1,2,1
C43F9.4,2,0,2,2
C43F9.5,14,12,12,10
C43F9.7,1,1,0,3
C43G2.3,6,2,1,4
C43H6.3,366,312,334,400
C43H6.4,988,832,846,895
C43H6.6,86,81,53,58
C44B11.1,43,32,30,27
C44B11.4,33,27,37,33
C44B11.6,37,42,33,43
C44B12.3,2,1,2,4
C44B12.6,4,5,6,7
C44B12.9,3,8,1,4
C44B7.11,959,824,771,848
C44B7.12,4342,4022,3438,4126
C44B7.5,9354,8656,7190,8770
C44B7.7,288,243,217,207
C44B9.2,22,22,17,21
C44B9.3,1076,1006,1037,1231
C44C1.1,825,824,790,860
C44C1.6,19,8,17,11
C44C10.10,1,2,3,2
C44C10.11,116,69,72,103
C44C10.12,0,0,0,0
C44C10.3,33,32,33,46
C44C10.5,40,29,32,29
C44C10.6,0,0,0,0
C44C10.7,1,0,1,1
C44C10.9,582,432,435,461
C44C10.9,526,399,375,428
C44E12.1,345,300,304,314
C44E4.5,2268,2106,1852,2184
C44F1.1,244,213,196,243
C44H4.4,908,848,908,952
C44H4.6,35,24,27,25
C44H4.8,12,9,13,13
C44H9.2,2,2,3,1
C44H9.4,135,115,87,107
C44H9.5,129,123,110,119
C44H9.6,187,148,154,184
C44H9.7,292,241,246,261
C44H9.7,263,216,232,250
C45B11.2,16,8,17,10
C45B11.5,1,1,0,0
C45B11.6,297,234,233,222
C45B11.8,2,4,2,4
C45B2.1,196,211,157,222
C45B2.2,41,19,24,12
C45B2.3,0,2,0,0
C45B2.6,717,559,655,641
C45B2.8,1,2,0,3
C45E1.4,152,106,127,169
C45E5.1,357,329,280,335
C45E5.3,3,3,2,5
C45E5.4,126,119,94,106
C45G7.4,234,194,223,244
C45G9.10,0,4,2,1
C45G9.10,0,4,2,1
C45G9.11,13,12,8,7
C45G9.12,8,12,7,10
C45G9.14,1,0,2,1
C45G9.15,49,33,36,41
C45G9.2,1038,1006,869,1050
C45G9.4,0,0,0,0
C45G9.5,2035,1806,1595,1795
C45G9.6,350,281,232,336
C45G9.6,372,298,246,338
C45G9.7,201,191,147,169
C45G9.8,4,5,6,2
C45G9.9,0,0,1,0
C45H4.13,1,3,1,4
C45H4.14,157,152,116,195
C45H4.14,213,209,161,278
C45H4.18,1,3,1,1
C46A5.1,8,3,0,4
C46A5.6,1027,938,776,1087
C46C11.2,380,326,331,372
C46C11.2,397,348,357,402
C46C11.3,287,222,238,236
C46C11.4,130,113,110,120
C46C2.2,3659,3327,3569,3772
C46C2.3,9,11,12,19
C46C2.5,851,754,713,783
C46C2.6,20,9,12,9
C46C2.6,10,5,7,4
C46C2.7,70,60,65,86
C46E10.1,1,1,1,1
C46E10.2,0,0,0,0
C46E10.3,0,0,0,1
C46E10.8,42,66,74,71
C46E10.9,67,59,67,91
C46F11.4,2897,2704,2281,2774
C46F11.5,1646,1534,1602,1588
C46F11.5,1836,1712,1795,1775
C46F11.6,556,383,472,514
C46F2.1,56,62,46,55
C46F4.3,0,0,3,2
C46G7.1,479,473,496,569
C46G7.2,784,681,747,758
C46G7.5,24,33,27,39
C46H11.1,0,0,0,0
C46H11.10,96,58,73,51
C46H11.10,84,56,66,45
C46H11.2,379,330,281,311
C46H11.3,0,1,5,1
C46H11.6,0,0,1,2
C46H11.7,29,28,33,28
C46H3.1,2,2,0,3
C46H3.2,969,860,911,951
C46H3.2,1005,914,953,1001
C47A10.12,3,0,4,2
C47A4.1,0,0,1,0
C47A4.3,6,2,2,3
C47A4.5,0,0,0,0
C47B2.2,1257,1143,1045,1250
C47B2.2,1572,1429,1409,1631
C47B2.9,273,292,278,362
C47C12.2,1,1,0,0
C47D12.2,5365,4931,4877,5615
C47D12.4,129,123,98,110
C47D12.5,315,274,287,307
C47D2.1,18,13,27,17
C47E12.10,1,0,0,0
C47E12.11,0,0,0,1
C47E12.11,0,0,0,1
C47E12.12,1,0,2,1
C47E12.13,38,19,29,34
C47E12.14,0,1,1,0
C47E12.2,1980,1783,1712,1864
C47E12.9,14,4,11,9
C47E8.1,1,0,0,0
C47E8.11,2,1,0,3
C47E8.3,16,20,19,19
C47E8.4,1993,1877,1630,1924
C47E8.9,12,10,3,11
C47F8.1,153,128,147,136
C47F8.3,0,0,0,0
C47F8.5,1,0,3,0
C47F8.6,0,0,0,1
C47F8.7,5,9,6,4
C47G2.3,773,750,722,792
C47G2.4,3505,3359,3525,3782
C48B4.10,390,397,397,457
C48B4.11,964,990,963,1127
C48B4.12,0,10,1,0
C48B4.12,0,10,1,0
C48B4.13,12,10,12,10
C48B4.3,108,114,83,92
C48B4.6,392,394,412,497
C48B4.7,663,667,663,882
C48B4.8,184,163,151,247
C48B4.9,488,496,504,612
C48B6.10,746,785,663,1098
C48B6.2,743,713,672,817
C48B6.3,2547,2537,2346,2781
C48B6.4,1,3,2,1
C48B6.9,276,214,253,248
C48D1.1,437,362,317,438
C48D1.1,418,347,309,418
C48D1.5a,13,14,24,10
C48D5.3,5,1,3,4
C48E7.1,1468,1302,1438,1503
C48E7.6,1146,999,864,1034
C48E7.7,0,0,0,0
C49A1.1,0,1,1,4
C49A1.10,241,170,228,197
C49A1.5,3,5,7,4
C49A9.1,2,6,2,6
C49A9.10,206,203,182,276
C49A9.2,341,326,259,294
C49A9.3,84,60,58,61
C49A9.4,117,124,126,136
C49A9.5,211,180,192,227
C49A9.6,402,298,326,346
C49A9.9,198,166,169,181
C49A9.9,198,166,169,181
C49C3.10,139,151,119,122
C49C3.11,12,14,7,8
C49C3.15,128,133,98,146
C49C3.4,6319,5799,6067,6525
C49C3.6,1456,1424,1108,1554
C49C3.7,1506,1300,1012,1376
C49C3.8,231,241,194,258
C49C3.9,384,341,321,362
C49C8.1,2,2,1,2
C49C8.2,33,23,29,33
C49C8.3,130,122,89,133
C49C8.5,2045,1817,1803,1940
C49C8.6,0,0,1,0
C49D10.7,0,0,0,0
C49F5.3,401,381,396,456
C49F5.5,0,0,0,2
C49F5.6,1628,1496,1443,1683
C49F5.7,416,409,363,552
C49F5.8,15,11,11,11
C49F8.1,37,34,49,39
C49F8.3,297,222,296,222
C49G7.10,212,201,163,221
C49G7.12,46,31,39,52
C49G7.3,1969,1712,1741,1758
C49G7.7,64,61,79,68
C49G9.2,13,17,11,15
C49H3.12,19,27,13,16
C49H3.3,1143,1117,811,1327
C49H3.4,427,366,307,381
C49H3.6,2087,1955,1703,2047
C49H3.6,2088,1955,1703,2047
C49H3.9,2405,2261,2056,2423
C50A2.3,212,223,228,222
C50B6.1,0,3,0,1
C50B6.3,4175,3872,3460,4145
C50B6.9,75,71,63,80
C50B8.4,61,44,52,54
C50B8.5,60,48,47,50
C50B8.6,145,124,145,161
C50C3.1,1193,1176,1142,1270
C50C3.12,0,0,1,0
C50C3.2,6,6,3,4
C50D2.1,397,285,278,271
C50D2.10,27,26,37,33
C50D2.2,131,95,102,113
C50D2.3,0,0,2,0
C50D2.5,1359,1416,1242,1423
C50D2.6,264,226,281,319
C50D2.7,1988,1833,1790,2068
C50D2.8,1595,1407,1213,1540
C50D2.9,1069,947,900,1022
C50E10.1,3,2,1,3
C50E10.2,0,0,1,1
C50E3.11,573,597,519,615
C50E3.12,781,823,670,954
C50E3.13,894,857,820,899
C50E3.15,0,0,1,0
C50E3.5,1825,1717,1603,1971
C50E3.6,71,62,64,70
C50E3.7,0,5,1,6
C50E3.9,3,0,1,1
C50F2.1,18,9,13,15
C50F2.2,3294,3352,2817,3575
C50F2.4,360,271,302,332
C50F2.5,0,0,0,0
C50F2.7,58,40,59,51
C50F4.1,1703,1368,1285,1562
C50F4.10,2,2,0,1
C50F4.12,1498,1363,1165,1463
C50F4.16,1912,1825,1581,1985
C50F4.4,290,297,252,279
C50F4.6,601,603,442,742
C50F4.8,602,463,455,532
C50F4.9,35,45,33,38
C50F7.3,0,2,0,1
C50F7.5,757,514,792,1136
C50F7.6,170,165,127,177
C50F7.9,8,6,3,11
C50H11.13,1,1,0,2
C50H11.17,1,1,0,0
C50H11.8,3,7,7,5
C50H2.13,113,116,98,124
C50H2.4,7,3,8,7
C50H2.5,6,4,5,8
C50H2.7,0,0,0,0
C51E3.10,24,29,21,35
C51E3.6,399,369,354,386
C51E3.9,311,243,265,265
C52A10.3,99,81,85,95
C52A11.3,0,1,1,0
C52B11.4,11,15,13,16
C52B11.5,394,389,349,365
C52B9.10,5,3,4,2
C52B9.4,2168,1962,1890,2082
C52D10.3,211,194,189,178
C52E12.1,5149,4950,4633,5272
C52E2.2,0,1,0,2
C52E2.3,4,5,3,3
C52E2.4,98,75,84,84
C52E2.5,64,52,52,46
C52E4.7,3,2,3,0
C52G5.2,353,272,294,282
C52G5.3,1,0,1,0
C53A3.1,26,25,21,33
C53A3.3,0,0,0,0
C53A5.11,2,1,1,1
C53A5.13,325,294,264,315
C53A5.2,1554,1347,1179,1450
C53A5.2,1607,1421,1240,1540
C53A5.2,918,784,640,825
C53A5.6,3499,3206,2726,3310
C53A5.9,8,4,8,5
C53B4.1,19,12,10,9
C53B4.2,2,4,4,6
C53B4.3,370,333,346,352
C53B4.4,41482,43009,34872,43005
C53B4.4,41991,43545,35404,43541
C53B4.4,41987,43540,35398,43536
C53B4.4,41477,43003,34865,42999
C53B4.4,41991,43545,35404,43541
C53B7.2,583,514,542,553
C53B7.3,1122,1103,1132,1151
C53B7.3,1079,1045,1076,1096
C53B7.3,1122,1103,1132,1151
C53B7.3,1079,1045,1076,1096
C53B7.6,0,0,1,1
C53C11.1,13,12,15,10
C53C11.2,18,17,12,26
C53C11.4,87409,82907,81177,92945
C53C11.5,157,135,131,168
C53C7.3,3,4,7,12
C53D5.1,730,694,635,812
C53D5.1,860,827,736,928
C53D5.1,707,668,606,778
C53D5.3,22,14,29,34
C53D6.10,1,1,1,0
C53D6.11,58,73,61,56
C53D6.4,1081,1058,966,1105
C53D6.5,3,2,1,0
C53D6.6,567,441,427,474
C53D6.7,214,186,165,203
C53D6.8,27,20,13,17
C53H9.2,4940,4641,4630,5020
C53H9.2,4941,4643,4631,5021
C53H9.2,4939,4641,4629,5020
C53H9.3,95,133,89,182
C54A12.3,0,0,0,1
C54C6.4,0,2,0,0
C54C6.5,4,6,7,5
C54C6.6,497,456,377,524
C54C6.7,14,23,29,30
C54C8.12,5,2,4,4
C54C8.3,0,0,2,0
C54D1.7,35,36,25,28
C54D10.10,51,46,27,47
C54D10.13,47,39,40,42
C54D10.3,1065,976,951,1120
C54D10.4,0,1,1,0
C54D10.5,17,18,21,20
C54D10.9,6,6,6,4
C54D2.1,85,60,64,64
C54D2.2,5,4,4,6
C54D2.6,6,9,10,7
C54E10.1,2,0,0,4
C54E10.3,4,2,3,4
C54E10.6,77,83,60,114
C54E4.1,5,7,5,7
C54E4.4,27,35,35,21
C54E4.5,163,175,144,163
C54F6.12,46,42,39,57
C54F6.15,1,1,0,0
C54F6.3,19,7,11,14
C54F6.5,16,8,9,19
C54F6.6,2,2,2,2
C54G10.1,4,1,5,5
C54G4.2,2,0,1,4
C54G4.3,0,0,3,0
C54G4.4,187,121,138,140
C54G4.5,15,9,13,26
C54G4.7,1576,1522,1391,1505
C54G4.9,1250,1121,1055,1201
C54G6.2,27,38,35,31
C54G6.3,2,4,3,2
C54G7.1,14,7,6,6
C54H2.4,12,2,6,4
C55A1.1,0,0,0,0
C55A1.11,0,0,0,0
C55A1.4,0,0,0,0
C55A1.6,10,4,7,8
C55A1.7,1,1,1,0
C55A1.9,0,0,0,1
C55A6.1,1903,1873,1892,2108
C55A6.10,1192,1193,1087,1177
C55A6.11,17,7,11,10
C55A6.12,209,210,186,215
C55A6.4,126,117,103,112
C55A6.6,66,55,59,66
C55A6.7,156,130,141,142
C55B6.1,927,853,724,892
C55B6.1,771,727,621,730
C55B6.4,0,0,0,0
C55B6.5,0,0,0,1
C55B7.10,0,0,0,0
C55B7.11,984,866,816,993
C55B7.3,214,153,172,193
C55C2.3,2,2,2,3
C55C2.4,0,0,0,1
C55C3.1,69,49,53,56
C55C3.3,17,32,18,23
C55C3.4,0,2,1,0
C55C3.6,1,0,0,2
C55C3.7,1,1,0,0
C55C3.8,0,1,4,1
C55H1.1,1,1,0,0
C56A3.4,1209,1109,987,1177
C56A3.4,398,362,326,397
C56A3.5,1608,1419,1277,1518
C56A3.6,1279,1091,1066,1272
C56A3.8,493,476,508,517
C56C10.11,1607,1417,1495,1728
C56C10.4,158,139,172,133
C56C10.6,1,1,0,1
C56C10.7,2071,1974,1796,2126
C56C10.7,2075,1972,1800,2117
C56C10.7,1959,1864,1696,2030
C56C10.9,1302,1214,974,1176
C56E10.3,22,32,15,16
C56E10.3,26,35,19,22
C56E6.4,15,11,14,8
C56E6.7,3099,2904,2454,2952
C56G2.15,456,430,413,464
C56G2.3,363,334,273,346
C56G2.4,420,328,356,358
C56G2.5,217,188,184,240
C56G2.9,22,20,18,17
C56G3.2,3,4,2,1
C56G7.3,199,175,176,188
C23H4.1,3320,3017,2979,3141
W03H9.4,4104,4114,3843,4335
F54D8.4,92,76,75,78
D1022.8,84,46,51,52
K05G3.3,1088,1104,1139,1139
R01E6.3,2800,2876,3038,3251
R01E6.3,3617,3657,3894,4172
R173.1,697,684,684,677
T28F2.3,125,100,126,85
C13C12.1,105,94,70,87
C18E9.1,124,103,88,102
M02B7.6,53,50,56,42
T07G12.1,100,65,78,62
M03F4.7,8850,8331,7670,8684
M03F4.7,8950,8416,7795,8803
C01G6.8,7629,6968,6438,7283
C01G6.8,7629,6968,6438,7283
C01G6.8,7629,6968,6438,7283
Y102A5A.1,13080,12181,12477,13821
D2024.6,4518,4259,3778,4500
M106.5,4898,4378,4022,4666
Y18D10A.17,32069,32931,31385,36679
F41G4.2,3021,2922,2992,3159
F41G4.2,2755,2691,2748,2896
C18E3.6,2215,2117,1868,2119
K07C5.8,12671,11987,10725,12912
B0034.3,643,570,512,541
B0034.3,3226,2631,2767,2584
B0034.3,618,557,490,522
W01C8.6,61,54,51,31
W01C8.6,53,50,47,30
B0432.5,33,15,13,21
B0432.5,32,16,14,12
F32G8.6,3770,3687,3180,3571
Y105E8A.12,841,777,801,816
Y105E8A.12,831,772,793,811
T13F2.8,15069,13556,12329,14575
C56A3.7,199,123,146,154
H02I12.1,104685,106121,103302,122401
ZK546.17,1180,985,1122,1223
K01A2.11,470,329,319,342
K01A2.11,497,346,336,361
K01A2.11,515,361,345,384
K01A2.11,515,360,345,380
R10E11.1,18036,16825,15488,19201
R10E11.1,17698,16483,15188,18833
R10E11.1,17698,16483,15188,18833
CC8.2,797,841,777,838
CC8.2,667,702,701,728
C54D2.5,804,708,649,680
C54D2.5,533,497,453,454
C54D2.5,804,708,649,680
C54D2.5,804,708,649,680
C54D2.5,804,708,649,680
T28F2.5,553,516,488,480
W10C8.1,15,14,7,13
F38B7.1,1633,1369,1558,1555
F38B7.1,1057,882,971,986
F38C2.5,35,50,60,64
W05B10.2,1081,915,744,981
Y57G11C.25,149,116,159,132
ZK1058.4,7739,7215,6458,7663
C16C10.6,2718,2448,1916,2601
Y56A3A.20,4305,4244,4121,4644
Y73F8A.6,2881,2617,2358,2593
T06D8.6,4092,3871,3668,4169
ZC518.3,16258,15250,14486,17093
ZC518.3,12224,11282,10660,12272
ZC518.3,8468,7717,7430,8607
ZC518.3,12188,11247,10636,12219
T05C12.7,12650,12174,12591,13156
T21B10.7,10936,10276,9784,11217
F54A3.3,9336,9182,8518,9235
K01C8.10,11112,10825,10908,11673
C07G2.3,16529,15960,15074,15867
C07G2.3,15078,14629,13861,14575
F01F1.8,10128,10106,10259,11228
F01F1.8,10119,10096,10242,11212
T10B5.5,11010,11233,11086,11857
T10B5.5,8080,8313,8417,8899
Y55F3AR.3,9063,9192,8878,9529
CD4.1,40,31,24,38
CD4.11,2,2,7,1
CD4.8,233,217,191,252
C17G10.4,8601,8135,7336,8769
C17G10.4,7568,7148,6495,7652
C17G10.4,7660,7226,6561,7750
C17G10.4,7427,7034,6399,7528
C17G10.4,7663,7229,6563,7752
K06A5.7,7797,7394,7046,8257
F16B4.8,3207,3166,3006,3285
ZK637.11,1430,1329,1211,1377
R05H5.2,8,2,6,3
B0511.9,1332,1399,1258,1548
B0511.9,1742,1776,1649,2089
W08F4.8,4231,4392,3938,4639
W08F4.8,4977,5146,4559,5431
R07G3.1,7241,6528,6412,7135
C06A1.1,31885,31062,30940,34940
C41C4.8,17038,16336,16048,18128
K04G2.3,1666,1503,1360,1607
C43E11.10,3240,3058,2850,3213
C47D2.2,153,167,161,160
F49E8.4,898,890,872,1000
C15B12.7,722,689,659,758
C15B12.7,632,608,582,689
R10F2.1,1921,1706,1809,1690
C45G7.5,164,117,164,127
Y71D11A.1,378,319,396,397
ZK112.7,2382,2115,1853,2026
F25F2.2,18267,16650,14176,17587
F08B4.2,1166,865,951,984
F08B4.2,1157,857,943,977
R05H10.6,46,36,34,28
F18F11.3,780,603,562,671
F59C12.1,391,344,372,412
T05G5.3,8997,8508,8019,9018
K03E5.3,1229,1119,1230,1270
F18H3.5,589,529,511,636
F18H3.5,525,477,484,580
T27E9.3,1528,1491,1309,1564
Y39G10AL.3,2093,1893,1929,2138
F39H11.3,3372,3015,2647,3303
H25P06.2,1269,1257,1258,1297
H25P06.2,1510,1541,1478,1571
T23F11.3,189,151,154,150
T23F11.3,223,177,182,176
R06F6.1,10370,9923,9587,10943
F35E8.11,273,227,222,257
C54D10.1,291,245,248,272
C54D10.2,1,0,1,0
K01D12.11,571,480,511,586
K01D12.12,1230,1095,1050,1185
K01D12.13,99,82,91,84
K01D12.13,92,81,86,84
Y54E10A.15,4078,3953,3610,4031
CE7X_3.1,9,6,7,15
CE7X_3.2,37,33,31,43
ZK1236.2,2547,2175,1775,2273
Y47H9C.4,333,332,377,342
Y47H9C.4,4703,4385,4353,4775
Y47H9C.4,4885,4586,4580,4997
Y47H9C.4,4885,4586,4580,4997
C09G12.8,1726,1774,1903,1929
C09G12.8,961,1024,1103,1126
ZK512.3,1106,941,971,995
Y106G6E.5,3524,3178,2717,3341
R09F10.9,0,0,0,0
Y41D4B.13,2044,2007,1924,2161
C48D1.2,6102,6002,6123,6921
C35D10.9,1936,1691,1582,1869
C35D10.9,2083,1835,1723,2021
C02F4.1,6918,6086,5730,6850
F56D2.7,2155,2058,2077,2359
C48B4.4,10513,9362,8465,10123
C48B4.4,10892,9766,8785,10471
C48B4.4,10513,9362,8465,10123
F08F1.5,466,377,399,405
T07C4.8,2813,2775,2366,3006
F26F4.1,2731,2499,2582,2857
K02F3.6,541,480,427,561
K07C5.5,215,178,158,188
F16H11.4,9,8,5,8
W03A3.1,142,124,92,105
F33D11.4,0,1,0,0
R13A5.5,619,597,633,676
F46C8.5,88,66,68,78
C13G5.1,98,97,101,107
D1007.1,26,24,16,29
ZC64.3,194,182,166,143
ZC64.3,380,320,342,285
ZC64.3,380,320,342,285
F20D12.6,44,33,37,30
F20D12.6,41,26,21,19
C27A12.5,43,61,64,67
F31E3.1,1812,1630,1498,1823
T26C11.6,1014,970,981,1061
F29F11.5,171,143,161,166
F29F11.5,147,124,131,140
F29F11.5,209,182,205,215
ZK652.5,1,3,5,7
F55B12.1,58,29,36,33
F46F3.1,538,487,437,538
K03A11.3,1,4,1,2
C33D12.7,124,145,114,148
C33D12.1,54,44,47,63
W05E10.3,1762,1429,1319,1528
C10G8.7,14,10,10,11
C10G8.6,438,391,395,439
C37E2.4,295,286,245,300
C37E2.5,544,484,506,537
F22D3.1,5816,5316,4739,5724
F22D3.1,4771,4320,3851,4735
T26C11.7,1465,1411,1377,1418
F17A2.5,410,331,309,370
T26C11.5,340,352,360,391
C28A5.4,997,923,788,952
Y54F10AM.4,5407,4951,4397,4981
Y54F10AM.4,4487,4063,3604,4064
Y54F10AM.4,5417,4955,4403,4988
ZK993.1,106,91,89,113
C17H12.9,515,434,432,458
F17A9.6,674,634,596,682
C16C2.1,117,105,112,110
K02B12.1,228,162,180,168
F22A3.5,118,99,89,114
C34C6.8,0,2,0,0
ZK265.4,69,43,42,66
Y65B4BR.9,6,2,2,5
C03D6.3,3111,2750,2466,2811
C03D6.3,2632,2358,2139,2396
F52B5.5,2344,2129,1917,2382
F52B5.5,2343,2129,1913,2381
F43G9.11,121,98,73,95
ZK909.4,950,787,880,1003
F56D1.6,164,139,127,138
T09A5.1,142,109,114,110
T09A5.1,77,67,71,77
F33A8.3,21891,21118,16851,20515
F46F11.2,44122,45164,44871,47660
M01E11.5,17268,16667,16388,18654
Y39A1C.3,15975,16767,14921,16909
T23D8.8,407,291,283,288
C18C4.2,205,135,137,163
F27E11.3,1022,907,995,1071
F27E11.3,981,883,969,1044
C14A11.3,1052,1003,886,1144
C14A11.3,1174,1089,984,1246
C14A11.3,876,844,751,956
C07H6.5,50402,50018,52582,57196
Y38C9A.2,5558,5304,5092,5538
T27A10.7,284,251,251,249
T06C12.10,117,94,126,100
F20B4.6,187,188,204,202
F59G1.1,3433,3276,3053,3573
F59G1.1,4478,4214,3966,4657
F59G1.1,3842,3598,3345,3891
F59G1.1,4041,3789,3541,4133
T20G5.1,31768,29044,30131,33317
T14G8.1,7630,6984,6628,7531
C55B7.12,8,3,8,7
C55B7.12,8,3,8,7
C27A7.4,265,233,199,187
B0024.8,150,114,136,132
F59C6.7,206,146,168,183
F56H1.1,294,220,271,237
F38G1.1,109,100,82,97
F18C12.1,660,499,432,484
BE0003N10.2,1763,1862,1757,2048
Y39H10A.7,2997,3184,3048,3520
Y39H10A.7,2966,3153,3024,3489
Y60A3A.12,245,270,246,258
T09B4.10,2176,2012,1970,2187
C48D1.3,63,54,69,46
Y110A7A.13,1955,1865,1735,1967
T25G3.2,20531,19737,18435,22699
F48A11.1,1010,693,838,800
C04F6.3,8891,8373,8541,9455
F35C8.7,2272,2102,2125,2543
F35C8.7,2272,2103,2126,2543
F35C8.7,2477,2308,2332,2723
F22E12.2,219,196,143,188
H14E04.5,746,712,586,758
K10D2.3,8340,7359,6755,7752
C02F5.4,1794,1643,1406,1867
F36A2.1,5337,4803,4367,5194
F36A2.1,5421,4864,4444,5282
F36A2.1,5421,4864,4444,5282
F36A2.1,5940,5384,4846,5832
F36A2.1,5337,4803,4367,5194
K08F11.3,5688,5535,5831,6350
ZK1127.7,1108,1091,1018,1264
F55F8.4,4030,3843,3113,3980
F44B9.4,824,765,669,765
F44B9.4,1593,1397,1262,1473
F44B9.4,2048,1793,1682,1923
F44B9.3,1868,1763,1655,1884
F44B9.3,1669,1571,1478,1674
C28D4.2,1762,1664,1615,1757
C28D4.2,1552,1459,1430,1557
C52B9.1,161,159,141,164
C52B9.1,181,187,160,184
B0285.8,158,122,123,154
B0285.9,340,365,313,376
B0285.10,3,3,2,3
F22F7.5,374,320,331,338
T27A10.3,402,364,352,392
T27A10.3,442,391,377,429
T05A6.1,1078,965,981,1054
T05A6.2,1086,1063,1101,1160
T05A6.2,1408,1399,1419,1542
C05H8.1,149,119,116,106
C05H8.1,136,110,107,93
T23B3.4,17,6,13,10
Y39A3B.5,76,59,55,60
Y39A3B.5,83,62,56,65
Y39A3B.5,66,53,52,51
Y39A3B.5,66,53,52,51
C09G4.3,4319,4233,3899,4945
Y47D3A.4,2670,2577,2298,2627
R07E5.8,2594,2378,2130,2522
C15C8.2,178,113,118,118
C15C8.2,186,116,125,124
C09F12.1,419,359,381,447
C01C10.1,198,161,155,176
ZK563.4,103,68,84,113
ZK563.4,103,68,84,113
T05A10.2,8,6,7,4
C01C10.4,294,243,285,303
