wormbase_gene,N2.2,Eat2.2,Nhr62.2,Nhr62Eat2.2,N2.3,Eat2.3,Nhr62.3,Nhr62Eat2.3,N2.1,Eat2.1,Nhr62.1,Nhr62Eat2.1
WBGene00007116,108,162,130,157,103,107,134,128,125,120,202,103
WBGene00196331,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197531,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198743,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198865,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198935,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199905,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015017,2737,2187,2836,2699,2549,1894,3723,2581,2423,1751,3474,1476
WBGene00015024,261,1096,367,660,459,852,467,758,617,1175,620,621
WBGene00044413,135,155,120,118,121,96,186,122,96,86,147,93
WBGene00044644,281,111,60,200,738,70,234,120,54,88,93,206
WBGene00044646,10,8,6,33,15,10,5,8,7,11,6,20
WBGene00194999,0,1,0,1,0,0,0,0,0,0,0,0
WBGene00198848,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00015019,0,4,2,3,1,7,5,6,1,6,0,3
WBGene00015020,4,3,11,5,4,1,6,4,9,4,5,2
WBGene00015021,1421,1574,1578,1564,1463,1169,2044,1414,1501,1209,2321,921
WBGene00015022,430,437,446,465,417,315,531,420,423,355,784,285
WBGene00015023,2262,1703,2299,2375,2024,1432,2816,2233,1985,1543,2921,1274
WBGene00015026,28,175,48,69,50,139,58,98,76,161,64,80
WBGene00015033,4,10,5,8,3,10,5,3,3,12,8,6
WBGene00015034,30,112,40,56,42,63,56,63,52,71,52,39
WBGene00195755,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197736,1,0,0,0,0,0,0,1,0,0,0,0
WBGene00198238,0,0,1,0,0,0,0,1,0,0,0,0
WBGene00200550,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015027,22,57,22,33,28,29,36,29,27,43,32,15
WBGene00015028,22,16,20,36,21,24,22,31,19,23,37,14
WBGene00015029,1357,1379,1297,1385,1300,1038,1874,1369,1141,1027,1981,805
WBGene00015030,24,207,25,50,31,98,50,89,63,171,40,62
WBGene00015031,0,0,0,1,0,1,0,0,0,0,0,0
WBGene00015032,21,116,39,53,29,64,48,57,44,98,46,42
WBGene00015037,424,180,455,237,329,162,579,251,273,97,544,129
WBGene00200460,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201154,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201697,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022894,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022895,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194988,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194989,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00194990,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194991,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201444,0,1,0,0,0,1,0,0,0,0,0,0
WBGene00015049,32,159,37,67,39,131,54,81,81,113,64,62
WBGene00015051,249,897,345,482,395,619,452,546,584,797,624,417
WBGene00015053,20,46,27,35,14,26,21,28,17,28,34,20
WBGene00015058,1,3,2,15,3,1,4,3,2,0,11,0
WBGene00044582,31,61,33,38,35,44,37,28,36,26,37,29
WBGene00201384,2,1,1,3,0,6,2,2,0,1,1,0
WBGene00015056,537,955,626,703,667,700,773,593,781,691,990,440
WBGene00015059,239,435,233,305,202,334,277,282,199,278,382,151
WBGene00015063,80,51,62,67,57,48,93,80,41,48,65,35
WBGene00015064,633,839,653,627,651,643,898,738,717,488,1121,382
WBGene00015065,1,1,0,0,0,0,0,1,1,0,0,0
WBGene00015066,0,0,2,1,0,1,0,1,0,1,0,0
WBGene00022896,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015067,117,133,100,117,62,119,140,128,86,114,112,83
WBGene00015075,3003,2440,3141,2898,2820,1932,3859,2565,2798,1978,4775,1602
WBGene00015076,72,131,79,109,91,111,75,113,105,109,161,76
WBGene00015077,0,1,0,0,2,0,0,0,2,2,1,1
WBGene00044537,25,20,22,18,27,15,31,22,16,17,42,14
WBGene00199827,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015071,0,2,2,0,0,0,1,1,0,1,0,1
WBGene00015073,3900,3377,4405,4454,3821,2906,5064,3888,3869,3183,5907,2496
WBGene00197623,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198702,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015085,130,195,147,209,146,144,137,147,116,91,167,95
WBGene00015086,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196359,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200415,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00206513,2,6,5,5,1,4,1,6,1,1,3,3
WBGene00015079,16,10,17,22,9,5,15,17,6,12,16,9
WBGene00015080,16,54,22,41,19,34,26,29,30,31,38,25
WBGene00015081,53,99,60,90,50,97,68,88,60,68,73,41
WBGene00015082,12,14,7,14,14,6,17,11,10,14,18,11
WBGene00015084,28,149,49,83,62,80,71,79,96,120,71,66
WBGene00022897,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022898,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022899,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050926,1,10,8,6,3,5,5,8,7,3,6,6
WBGene00050927,9,34,20,13,8,23,23,14,4,15,18,9
WBGene00189978,0,0,0,1,0,0,0,0,1,1,0,0
WBGene00196688,0,1,0,0,1,0,2,0,1,0,1,0
WBGene00197937,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198398,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00206505,3,2,2,0,1,4,6,1,1,2,0,0
WBGene00007120,9,9,11,5,20,6,11,10,61,14,16,10
WBGene00007121,77,105,71,77,55,64,115,91,63,76,122,51
WBGene00007122,3499,2821,3947,3204,3539,2028,4802,3136,3833,1717,6321,1842
WBGene00007124,228,182,304,263,275,157,329,223,231,191,354,162
WBGene00007125,12,13,4,18,4,8,9,7,4,5,8,8
WBGene00015087,76,148,89,155,72,112,137,118,103,84,134,56
WBGene00015088,493,445,679,617,534,381,827,484,689,444,886,288
WBGene00015089,115,493,158,238,188,304,185,278,256,395,235,191
WBGene00044615,55,119,61,80,59,94,83,82,54,83,62,47
WBGene00015091,3547,3033,3603,3923,3379,2588,4507,3637,3356,2865,5250,2258
WBGene00015093,17,91,32,38,21,47,35,48,41,63,55,22
WBGene00015094,207,876,238,509,392,535,304,478,558,736,468,400
WBGene00015095,4122,3800,4472,4518,4204,2696,5646,3984,4084,2867,7377,2520
WBGene00015096,280,274,294,259,264,195,393,275,296,153,537,134
WBGene00195057,0,6,3,3,4,2,3,3,2,1,6,2
WBGene00007129,1819,1678,1796,1810,1577,1226,2243,1928,1619,1583,2526,1139
WBGene00007130,288,260,313,275,201,157,246,321,239,471,332,180
WBGene00015097,137,462,216,251,213,314,220,258,292,406,368,209
WBGene00199390,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00199932,0,0,0,1,0,0,1,1,0,0,0,0
WBGene00200969,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202409,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00206473,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00015106,82,406,115,207,134,266,149,251,193,299,182,164
WBGene00044674,179,772,246,421,316,481,338,408,376,578,455,331
WBGene00195674,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015100,19,22,12,24,9,19,25,22,23,12,27,9
WBGene00201910,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023224,0,1,0,0,0,1,0,0,0,0,0,0
WBGene00015103,1,2,0,12,0,1,2,1,2,26,1,2
WBGene00015104,2218,1970,2403,2294,2301,1546,3065,2132,2274,1717,4015,1388
WBGene00015108,0,0,0,1,0,0,1,1,0,0,1,1
WBGene00015110,143,243,187,180,129,136,183,206,161,152,240,107
WBGene00015111,40,46,31,54,54,38,48,63,47,28,50,36
WBGene00015112,306,103,218,171,179,88,273,156,136,77,357,87
WBGene00015113,9,15,3,9,0,7,8,14,2,9,5,6
WBGene00023225,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015114,0,0,0,1,1,0,1,0,1,0,1,1
WBGene00007133,26,33,30,31,28,22,37,34,19,23,22,11
WBGene00045188,2,2,1,0,0,2,1,2,1,4,1,1
WBGene00198895,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014641,0,8,1,7,0,5,0,9,3,12,1,0
WBGene00197514,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197767,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198795,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00007136,793,673,859,854,767,685,1200,897,768,615,1161,470
WBGene00007138,52,72,53,66,44,53,78,62,56,42,65,31
WBGene00007475,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015115,141,231,137,194,118,173,165,181,143,191,249,96
WBGene00199439,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200213,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015117,24,20,21,24,24,17,28,25,17,19,30,20
WBGene00015118,0,2,2,1,2,0,6,2,1,3,3,1
WBGene00015119,1,1,1,0,0,1,6,3,2,0,0,0
WBGene00015121,1,0,0,0,2,1,2,2,3,1,1,1
WBGene00015122,497,889,567,949,432,625,624,923,565,807,766,530
WBGene00201064,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00015131,759,1126,866,839,769,776,1068,860,955,764,1330,555
WBGene00015132,124,84,110,97,89,70,122,88,81,68,165,50
WBGene00044678,4,8,7,2,6,7,9,4,7,3,6,4
WBGene00197908,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015125,6124,6389,6114,6715,5659,4549,7558,6460,5638,5636,8734,3920
WBGene00015126,3557,3224,3795,3627,3250,2810,4695,3670,3253,2782,4993,2096
WBGene00015128,844,983,907,1009,816,685,1173,1011,809,616,1354,580
WBGene00196970,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015134,651,761,705,806,690,555,962,685,647,523,1160,458
WBGene00015136,159,271,146,196,171,206,264,233,129,193,275,150
WBGene00015137,177,372,252,281,199,291,314,266,238,296,373,150
WBGene00200480,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201176,2,1,0,0,0,0,1,0,0,1,1,0
WBGene00201813,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015138,199,240,134,201,160,154,199,213,112,159,253,91
WBGene00015139,49,98,27,82,26,84,34,70,25,131,41,53
WBGene00015142,3,35,1,10,6,22,1,26,1,25,8,7
WBGene00199361,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199392,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00200462,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007148,5,4,2,4,8,2,3,7,8,2,2,2
WBGene00007539,1,1,1,0,1,1,0,1,0,3,0,0
WBGene00007149,3,29,9,21,9,28,9,12,4,28,8,6
WBGene00196007,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197047,3,3,1,3,0,1,1,0,0,0,1,0
WBGene00197809,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00200584,2,2,1,0,0,0,5,2,0,1,0,0
WBGene00219293,0,0,1,0,0,0,0,0,0,0,0,1
WBGene00007143,5594,5484,5402,6619,4501,4423,5640,6656,4900,4471,6947,3649
WBGene00007144,2199,1866,2359,2138,1961,1559,2967,2153,1849,1379,3085,1196
WBGene00007145,1533,1074,1683,1464,1487,1063,2131,1419,1406,1025,2160,910
WBGene00007146,15,20,11,17,10,16,16,15,14,27,24,16
WBGene00007147,57,48,51,31,45,27,52,37,25,22,58,21
WBGene00015149,1,1,1,1,0,0,2,1,2,0,5,1
WBGene00015150,1136,995,1102,960,972,688,1425,999,893,686,1791,598
WBGene00197400,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198234,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199402,0,1,0,1,1,1,1,2,0,0,0,0
WBGene00015147,1047,700,1078,1088,976,652,1311,922,899,713,1370,529
WBGene00023226,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197918,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198418,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200240,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022900,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022901,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022902,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015151,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015152,9,2,1,5,3,3,9,5,10,2,3,3
WBGene00015153,13,7,12,9,6,8,10,4,10,10,11,12
WBGene00195406,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195482,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195753,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196221,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196498,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196826,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199441,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199653,0,0,1,0,0,1,0,0,0,0,0,0
WBGene00200257,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200594,0,0,0,0,1,0,1,1,0,0,0,0
WBGene00200898,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201108,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201166,0,0,0,1,0,0,0,0,0,0,1,0
WBGene00201487,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201592,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202166,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202180,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202317,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022903,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015155,181,253,184,220,202,167,236,239,209,194,367,139
WBGene00198942,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015165,23,121,48,62,57,109,80,78,72,122,60,56
WBGene00015156,2023,1948,2382,2265,1965,1444,2968,2074,1988,1516,3059,1218
WBGene00015157,2101,1983,2262,2163,1929,1498,2877,2001,1832,1396,3057,1128
WBGene00015158,29,51,23,32,47,38,37,44,33,45,42,17
WBGene00015160,1825,1620,2127,1926,1878,1334,2528,1747,1809,1285,2719,1100
WBGene00015163,422,629,528,606,555,452,571,559,463,274,564,231
WBGene00007151,0,1,3,3,0,2,1,1,3,1,1,0
WBGene00199942,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00219208,54,23,42,48,31,19,69,39,35,19,57,26
WBGene00007155,506,697,612,603,546,456,777,589,624,551,1075,366
WBGene00196917,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00197704,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007156,42,129,56,77,54,117,79,90,118,153,88,69
WBGene00007158,0,0,0,0,0,0,1,0,0,0,0,1
WBGene00007159,207,776,329,521,400,538,470,520,532,780,570,370
WBGene00195400,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196204,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00007160,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007165,343,217,253,170,299,161,348,240,267,143,386,151
WBGene00196283,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00206462,1,0,0,0,0,0,0,0,1,0,2,0
WBGene00007161,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014643,72,113,61,74,60,67,87,72,57,69,113,60
WBGene00045374,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195794,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196707,0,0,0,3,0,2,3,0,0,0,1,1
WBGene00197954,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197966,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00198723,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199221,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007168,5490,3935,5763,5337,4821,3632,7516,5629,4441,3184,6841,2929
WBGene00007169,15,193,21,74,46,150,43,95,88,188,44,86
WBGene00007170,63,123,27,104,29,96,84,86,39,174,58,64
WBGene00007171,1496,1223,1746,1692,1502,1039,2143,1538,1450,1056,2468,1005
WBGene00007172,6,10,6,6,4,5,4,6,4,7,4,3
WBGene00007173,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044636,170,293,166,165,124,166,203,222,152,249,216,126
WBGene00201861,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007175,2062,1810,2248,1855,1887,1332,2314,2055,2034,1532,2986,993
WBGene00199089,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199788,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201033,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00008104,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044980,0,0,0,0,2,0,0,0,0,0,0,1
WBGene00014644,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014653,0,0,0,0,2,0,1,2,0,0,0,0
WBGene00014654,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00014655,0,0,0,0,0,0,0,0,0,0,1,1
WBGene00014656,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00014657,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014658,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014659,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014645,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014646,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014647,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014648,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014649,0,1,0,1,1,0,0,0,0,1,1,0
WBGene00014650,0,2,1,1,0,0,1,0,0,1,1,0
WBGene00014651,0,4,1,0,0,0,1,0,1,0,0,1
WBGene00014652,1,1,0,2,0,0,0,2,1,0,0,0
WBGene00197662,0,0,0,0,0,0,0,2,0,0,0,0
WBGene00199097,0,1,0,0,0,0,0,1,0,0,0,0
WBGene00200184,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200741,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201712,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015167,67,43,83,31,73,48,90,44,77,40,146,17
WBGene00015169,96,224,107,136,102,152,124,112,106,200,137,68
WBGene00043982,84,174,109,94,94,119,100,127,72,89,120,54
WBGene00196142,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196675,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197563,1,1,3,1,1,2,0,2,0,0,1,0
WBGene00015170,2,0,0,1,0,0,0,0,1,2,0,0
WBGene00015172,537,373,380,234,386,245,609,241,674,172,840,132
WBGene00197982,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023468,1,0,3,0,2,2,3,2,0,0,1,2
WBGene00044939,0,0,2,2,3,3,4,2,3,2,6,0
WBGene00198221,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00198839,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199609,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00206482,47,35,43,46,41,24,43,33,32,28,60,23
WBGene00206483,28,81,37,52,33,59,48,48,49,30,60,17
WBGene00015178,3,7,7,17,6,2,11,20,2,2,4,7
WBGene00015179,73,145,86,120,82,92,93,73,88,102,137,65
WBGene00015180,257,191,211,276,178,123,286,283,175,110,394,116
WBGene00015181,4073,4271,4141,4347,3772,3077,5438,4431,3919,2738,6378,2544
WBGene00015182,91,323,130,164,105,217,177,247,133,162,146,103
WBGene00195710,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198460,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015183,9,4,7,8,10,4,10,12,8,4,11,3
WBGene00015191,531,480,583,520,516,357,782,522,459,382,858,324
WBGene00015192,7,43,16,17,9,27,10,22,19,31,14,17
WBGene00044640,67,110,67,103,69,86,94,113,70,85,68,66
WBGene00195323,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195535,0,2,0,1,1,1,0,0,1,0,0,0
WBGene00196557,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197697,0,0,1,0,1,0,0,0,0,0,0,0
WBGene00015188,608,449,729,757,558,417,857,692,520,408,816,356
WBGene00015189,770,566,779,784,695,560,1030,810,673,555,1071,490
WBGene00015190,110,80,120,91,121,50,136,87,96,65,147,56
WBGene00195335,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00195464,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196084,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196256,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196371,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197799,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199082,1,6,3,1,3,3,3,2,2,1,3,2
WBGene00199379,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200108,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200955,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201053,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201122,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202018,0,0,0,0,0,0,0,0,0,0,0,0
