wormbase_gene,JA1,JA2,JA3,JA4,JA5,JA6,JA10,JA11,JA12,JA13,JA14,JA15,JA19,JA20,JA21,JA22,JA23,JA24,JA28,JA29,JA30,JA31
WBGene00021380,1,1,1,2,3,1,0,1,3,3,2,0,2,0,2,0,3,1,3,2,5,3
WBGene00023366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021346,1923,2371,1435,1290,2708,1357,2472,3375,1818,4152,1776,1615,1966,3569,2835,3706,3400,4072,3383,1508,4192,1793
WBGene00021355,11786,13196,8395,5209,10912,5492,8846,11687,7601,14078,5035,5382,3628,13564,9940,7739,10312,11421,8702,5062,12725,6279
WBGene00044810,8,13,3,7,14,11,2,2,1,1,0,2,0,1,7,2,1,1,9,1,1,1
WBGene00044925,4,10,2,8,10,4,0,2,3,6,2,2,2,2,3,6,6,8,2,2,5,5
WBGene00044931,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
WBGene00044932,7,14,9,7,9,14,1,5,1,3,3,3,2,2,1,1,6,5,8,2,2,4
WBGene00195031,22,35,15,21,52,12,6,24,7,24,8,6,18,16,18,25,16,20,8,3,19,7
WBGene00195032,15,16,10,17,28,8,11,11,6,7,6,3,24,22,9,20,20,20,24,6,8,7
WBGene00195033,0,3,4,7,4,6,0,3,0,2,0,0,5,7,3,6,11,4,4,0,5,3
WBGene00195672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196428,0,2,4,1,1,4,1,3,0,1,0,3,0,4,4,0,0,2,4,0,5,3
WBGene00197277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200606,5,12,1,5,7,4,0,0,1,5,2,0,7,4,1,1,1,1,0,0,0,0
WBGene00021350,81189,101545,59304,49837,117362,60270,38831,57445,28960,71626,28131,25345,44811,58535,51811,64996,68029,83905,61457,24380,73090,35049
WBGene00021382,27,29,12,22,41,13,17,19,9,25,11,12,26,17,26,45,35,46,106,32,73,32
WBGene00195465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021383,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
WBGene00021384,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
WBGene00021385,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00021386,25,32,17,25,33,27,18,19,9,35,14,14,13,20,10,34,24,25,16,5,11,13
WBGene00021387,565,640,410,386,661,370,426,599,393,777,342,328,443,817,678,741,741,967,683,354,697,419
WBGene00021388,32,59,21,42,85,44,18,44,11,48,15,16,26,28,26,35,34,47,32,10,38,22
WBGene00044289,7,20,8,9,26,18,8,11,1,11,2,9,0,5,5,10,11,9,17,12,34,13
WBGene00023368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00012562,2024,2554,1620,1204,2548,1268,2129,2724,1795,3794,1567,1617,1697,3582,2908,3103,3437,3961,3209,1459,4128,1909
WBGene00012570,1,2,1,0,3,1,3,16,6,10,4,7,9,4,7,15,6,7,11,5,20,6
WBGene00012571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,9,5,10,6
WBGene00044758,584,731,468,387,896,504,470,742,434,923,490,417,720,682,573,830,748,934,462,216,508,247
WBGene00045417,15,17,10,17,24,14,168,249,145,295,166,111,456,370,327,535,497,545,29,11,29,17
WBGene00045416,95,135,51,85,166,77,301,403,223,494,207,202,886,1067,876,1464,1348,1872,1693,1012,2843,1338
WBGene00050935,15,19,8,7,25,12,15,22,16,28,14,14,45,36,50,59,54,68,87,36,80,46
WBGene00201781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00012567,233,270,164,140,288,187,182,268,143,333,155,156,209,280,248,329,359,421,254,146,344,159
WBGene00012572,7,14,6,5,13,9,6,20,8,26,9,2,6,32,20,34,31,30,70,34,68,42
WBGene00012573,30,21,9,11,31,18,58,96,40,72,37,33,114,118,106,107,130,96,228,133,241,150
WBGene00012575,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,3,0,1,2
WBGene00077644,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0
WBGene00012576,477,664,424,312,685,365,539,639,492,983,453,451,425,951,781,910,922,1155,879,354,1133,540
WBGene00012577,7,12,6,10,17,3,3,4,6,10,1,2,10,11,9,5,6,15,12,3,7,3
WBGene00012578,2075,2489,1566,1176,2310,1229,2177,2817,1810,3563,1368,1495,1344,3733,2821,2505,3166,3803,3027,1668,4290,2142
WBGene00014870,24,35,19,20,37,14,42,61,35,86,37,29,78,88,63,131,111,134,82,39,83,26
WBGene00014871,8,19,17,7,20,8,16,28,15,32,14,21,37,43,38,48,66,58,103,38,123,53
WBGene00202143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021389,25,40,28,21,53,25,6,21,16,42,11,10,7,12,13,14,14,15,82,16,69,58
WBGene00021392,2471,3065,1933,1513,3429,1833,2434,3422,1980,4427,1902,1851,2032,3222,2700,3577,3529,4000,2691,1172,3060,1544
WBGene00195561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196561,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
WBGene00021394,1921,2466,1769,1152,2378,1481,2373,2913,2182,3811,1671,1972,1578,3588,3318,3450,3985,4691,3454,1619,4362,2137
WBGene00021402,884,952,672,407,756,394,781,1041,708,1406,619,620,269,1056,879,814,1091,1281,734,426,1082,603
WBGene00196851,2,2,1,1,4,0,1,1,0,0,1,0,0,3,0,4,1,2,4,1,2,4
WBGene00198224,0,0,0,1,0,0,1,1,0,0,0,0,1,2,0,1,1,0,1,0,1,0
WBGene00198551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
